Date,Average pressure,Sea level pressure,Rainfall,Max rainfall (1 hour),Max rainfall (10 mins),Ave temp,Max temp,Min temp,Ave humidity,Min humidity,Ave wind speed,Hours of sunlight,Snowfall,Max snow cover,Gust x,Gust y,Max x,Max y
1981/4/21,1000,1004.2,,,,14.9,19.3,10.5,36,30,5.6,12.4,,,15.89072796,-6.582155037,10.53222667,-4.362591129
1981/4/22,1008.2,1012.5,,,,15.6,20.8,10.2,51,33,2.9,11.7,,,-9.885510998,4.094712726,-6.6,8.08E-16
1981/4/23,1010.1,1014.3,,,,18.3,23.6,12,48,17,2.5,11.8,,,-8,9.80E-16,-5.5,6.74E-16
1981/4/24,1008.9,1013.1,,,,19.6,23.9,13,49,22,4.6,9.7,,,-17.92326293,-7.424058588,-6.434671709,-6.434671709
1981/4/25,1002.2,1006.3,16,5,1.5,16.7,21.1,12.2,75,46,5.3,1.8,,,-19.86340995,-8.227693796,-8.869243512,-3.673760951
1981/4/26,1010.2,1014.5,,,,14.9,18.5,10.8,44,24,5.1,12.4,,,13.30386527,-5.510641426,7.760588073,-3.214540832
1981/4/27,1010.4,1014.6,,,,18.2,22.5,11.8,56,36,2.6,12.7,,,-8.499691699,3.520687578,-6.744320587,2.793589056
1981/4/28,1015.1,1019.4,,,,15.9,20.3,12.3,42,27,3.8,11.9,,,4.209517756,10.16267486,2.678784027,6.467156728
1981/4/29,1016.5,1020.7,0,0,0,17,21.3,11.4,53,34,3.5,7,,,-11.3,1.38E-15,-6.4,7.84E-16
1981/4/30,1006.3,1010.5,10.5,3.5,2.5,18.2,20.7,15.9,79,56,3.5,2.6,,,-12.9,1.58E-15,-7.6,9.31E-16
1981/5/1,1011.1,1015.3,,,,20,27,13.8,58,32,3.1,12.6,,,8.414570696,-8.414570696,5.374011537,-5.374011537
1981/5/2,1013.5,1017.7,,,,19.6,23.7,15.7,71,49,3.2,4.9,,,-11.6,1.42E-15,-7.1,8.69E-16
1981/5/3,1007,1011.2,0,3,1,19.8,24.8,14.6,75,52,3.6,7.4,,,-13.6,1.67E-15,-8.3,1.02E-15
1981/5/4,1009.1,1013.4,10,6,1.5,13.3,15,11.6,81,69,3.5,,,,15,0,8.776855559,-3.635492607
1981/5/5,1017.2,1021.5,,,,16.4,20.6,10.5,53,17,2.9,12.3,,,-10.4,1.27E-15,-6.7,8.21E-16
1981/5/6,1018.2,1022.4,0,0,0,18,20.5,15.7,56,37,3.3,,,,-8.776855559,3.635492607,-6.282380821,2.60224734
1981/5/7,1007.8,1012,40.5,9,3,14.5,16.1,13.6,89,66,4.3,,,,18.10803884,-7.500595274,6.929646456,-6.929646456
1981/5/8,1004.7,1008.8,,,,18.6,25.9,12.6,59,26,3.9,12.4,,,13.11908936,-5.43410474,8.130139886,-3.367614205
1981/5/9,1006.4,1010.7,,,,18,22.1,11.8,71,56,1.8,9.2,,,5.358501289,-2.219563908,4.2,0
1981/5/10,1006.9,1011.1,0,0,0,18.3,21.2,15.2,64,45,2.5,0.9,,,10.6,0,7.1,0
1981/5/11,1006,1010.3,1.5,1.5,1.5,15.4,18.8,12.8,70,55,2.4,,,,2.870125743,6.929096494,1.836880475,4.434621756
1981/5/12,998.4,1002.6,12.5,3,1,16.1,20.9,12.3,90,82,3.3,,,,-17.1841593,-7.117911842,-6.744320587,-2.793589056
1981/5/13,1002.6,1006.8,0.5,0.5,0.5,16.4,20.3,13.8,67,49,2.9,6.5,,,-6.788225099,6.788225099,-5.5,6.74E-16
1981/5/14,1007.2,1011.4,0.5,0.5,0.5,18.6,23.5,13.5,56,20,3.4,8,,,-8.961631465,-3.712029294,-6.3,7.72E-16
1981/5/15,1005.8,1010,0,0,0,19.8,23.8,16.1,59,42,2.5,6.7,,,-8.3,1.02E-15,-5.1,6.25E-16
1981/5/16,1007.6,1011.9,,,,15.4,18.7,12.5,59,45,4,6.6,,,7.636753237,7.636753237,2.563978997,6.189992868
1981/5/17,1005.6,1010,60,21.5,5.5,11.6,13.3,10.4,87,67,5.6,,,,10.53589104,-10.53589104,5.586143571,-5.586143571
1981/5/18,997.6,1001.8,9,11.5,2.5,16.8,21.7,10.2,70,51,3.5,10.4,,,11.9501046,-11.9501046,8.407303746,-3.482419235
1981/5/19,1004.3,1008.6,0,0,0,14.9,16.2,13.6,66,57,3,1.2,,,7.4,0,4.7,0
1981/5/20,1009.6,1013.9,0,0,0,13.7,15.1,11.9,68,54,2.6,,,,7,0,4.711785616,1.951685505
1981/5/21,1010.2,1014.5,,,,16.8,20.6,10.9,63,40,2.4,11.3,,,-8.7,1.07E-15,-6.1,7.47E-16
1981/5/22,1006.7,1010.8,,,,19.5,24.5,13.7,56,31,2.4,9.9,,,-8.6,1.05E-15,-5.358501289,2.219563908
1981/5/23,1004.8,1008.9,,,,22.6,28.4,15.4,48,22,2.7,12.1,,,-9.9,1.21E-15,-6.9,8.45E-16
1981/5/24,1003.5,1007.7,15.5,4,1.5,15.1,20.2,13.4,82,68,3.4,,,,10,0,6.4,0
1981/5/25,997.4,1001.5,1,0.5,0.5,20.3,25.7,14.4,63,21,3.5,6.8,,,10.80939053,-4.477396159,6.929096494,-2.870125743
1981/5/26,1004.9,1009,,,,21.7,26.2,16.1,42,19,3.3,11.3,,,12.47237369,-5.166226337,7.206260354,-2.984930772
1981/5/27,1011.2,1015.5,0,0,0,19.2,23.9,16.3,49,28,3.6,11.5,,,-7.778174593,7.778174593,2.372637281,5.728053102
1981/5/28,1004.1,1008.3,0.5,0.5,0.5,17.4,21.2,15.3,73,49,2.8,,,,-10.4,1.27E-15,-5.3,6.49E-16
1981/5/29,989.4,993.5,0,0,0,20.7,25.9,15.4,62,37,3.8,8.7,,,19.30908223,-7.998083736,11.64088211,-4.821811248
1981/5/30,1002.9,1007.1,,,,17.7,20.4,14.9,32,24,7.4,11.9,,,20.04818586,-8.304230482,13.39625322,-5.548909769
1981/5/31,1011,1015.2,0,0,0,15.3,18.2,11.9,55,38,2.8,,,,8.1,0,4.619397663,-1.913417162
1981/6/1,1005.6,1009.8,0,0,0,17.2,21.2,14.6,68,59,2.3,0.7,,,9.977898951,-4.13298107,5.820441055,-2.410905624
1981/6/2,1005.5,1009.7,0,0,0,19,23.7,14.7,57,22,3.5,7.9,,,12.28759778,-5.08968965,8.037751933,-3.329345862
1981/6/3,1008.5,1012.7,0,0,0,19.3,24.4,14.4,50,30,3.1,10.3,,,-12.7,1.56E-15,-7.1,8.69E-16
1981/6/4,1009.7,1013.9,0,0,0,19.8,22.4,16.4,70,54,2.8,1.2,,,-9.515959185,3.941639353,-6.005216961,2.48744231
1981/6/5,1007.2,1011.4,0.5,0.5,0.5,19.8,23.4,16.7,70,51,3.1,8.1,,,-6.788225099,6.788225099,-4.737615434,4.737615434
1981/6/6,1009.8,1014,12,12,5.5,19.9,24.5,16.6,73,48,2.4,3.8,,,8.3,0,-5.081337429,2.104758878
1981/6/7,1013.1,1017.2,0,0,0,21,24.9,16.9,75,53,3,5.5,,,-10.6,1.30E-15,-6.005216961,2.48744231
1981/6/8,1014,1018.1,,,,22.5,25.7,20.1,69,53,3.6,5.6,,,-9.515959185,-3.941639353,-7,8.57E-16
1981/6/9,1012.5,1016.6,,,,22.4,25.4,20.1,70,57,3.2,6.2,,,-8.961631465,3.712029294,-5.728053102,2.372637281
1981/6/10,1010.5,1014.7,,,,22.7,25.3,20.7,69,50,2.5,1.5,,,-7.1138724,-2.946662429,-4.24984585,1.760343789
1981/6/11,1006.3,1010.5,1.5,0.5,0.5,20.7,23.5,19,78,64,2.6,,,,2.48744231,6.005216961,2.969848481,2.969848481
